"year","hatchdate","cs","layday","recruit"
1990,135,8,27,0
1990,135,7,29,0
1992,138,11,24,3
1990,127,9,15,0
1989,158,8,51,0
1990,123,11,9,2
1990,124,12,7,0
1990,124,10,12,1
1990,126,9,15,1
1990,126,10,13,0
1990,131,9,21,0
1991,132,12,14,6
1990,127,5,14,0
1989,126,8,14,4
1988,145,8,34,0
1988,145,6,36,0
1990,128,6,15,1
1988,145,9,34,0
1990,120,8,7,1
1989,136,7,23,0
1988,149,9,37,0
1990,120,8,6,0
1988,154,6,47,1
1989,131,8,19,1
1989,122,7,13,2
1988,142,7,30,0
1988,145,9,28,0
1988,143,8,32,0
1988,148,8,39,1
1990,124,9,9,0
1990,127,8,17,0
1989,128,9,14,3
1989,133,8,21,1
1991,141,8,26,0
1990,128,9,5,1
1990,130,9,18,0
1990,136,8,27,0
1989,134,9,23,1
1989,134,11,19,0
1989,140,10,29,1
1989,141,10,30,1
1989,145,7,35,0
1989,141,7,33,0
2005,125,5,17,0
2005,130,10,18,2
2005,131,5,20,2
2005,132,9,21,0
2005,133,7,23,0
2005,133,9,22,3
2005,132,9,19,0
2005,134,9,23,0
2006,138,11,26,1
2005,133,10,20,0
2006,132,8,23,0
2005,133,5,28,1
2005,136,7,25,0
2005,135,10,25,2
2008,140,6,29,0
2006,137,8,24,2
2007,127,9,17,0
2009,131,8,21,0
2007,129,9,19,0
2006,141,9,29,1
2005,138,8,28,0
2006,133,9,22,2
2007,128,9,18,0
2005,138,10,27,0
2005,134,7,24,2
2008,138,7,26,1
2006,132,9,23,1
2005,139,8,30,1
2008,135,8,23,1
2006,136,8,24,0
2007,127,10,16,0
2005,134,9,23,3
2008,143,10,32,1
2007,132,10,21,0
2005,139,9,27,0
2006,141,10,30,1
2007,128,12,16,0
2005,139,11,27,0
2006,133,11,21,5
2005,137,9,27,2
2006,136,10,25,2
2005,140,8,32,0
2005,140,8,32,1
2005,138,10,28,1
2005,142,10,32,0
2005,143,10,32,0
1989,151,7,45,2
1990,123,7,10,0
1990,150,7,43,1
1989,138,7,30,1
1989,141,11,29,0
1987,132,10,21,4
2008,137,8,23,0
2008,139,11,12,1
2008,139,8,25,0
2008,150,6,42,0
1991,147,6,37,0
1991,NA,9,27,0
1990,124,7,15,0
1991,141,7,30,0
1989,137,7,29,0
1991,146,8,29,1
1992,134,10,22,5
2012,133,7,15,0
2010,132,8,24,1
1992,134,8,24,4
1993,153,6,45,0
1994,137,8,29,3
1990,132,11,16,0
1990,138,7,32,0
1990,134,9,23,0
1992,137,10,22,2
1990,132,9,23,0
1989,136,8,23,1
1989,140,11,30,0
1990,136,11,24,0
1989,142,11,31,0
1990,132,9,16,0
1989,143,9,33,1
1989,145,7,38,0
1990,124,12,4,0
1989,140,6,32,0
1992,141,10,27,2
1992,139,12,24,1
1992,140,9,29,2
1993,132,9,20,1
1995,125,9,12,1
1992,138,8,24,2
1992,165,7,48,0
1991,148,8,36,0
1990,136,9,27,0
1990,131,8,22,0
1990,131,8,20,0
1990,125,8,14,0
1990,126,6,18,1
1990,126,7,13,0
1990,125,6,16,2
1990,127,7,17,0
1990,127,10,14,1
1993,129,9,17,3
1992,139,8,26,2
2010,134,11,22,1
1992,133,7,23,2
1992,135,10,23,1
1992,134,8,23,0
1992,138,9,26,1
1992,138,10,23,0
1993,133,11,21,0
1994,133,8,23,0
1992,137,11,23,0
1992,138,10,25,1
1992,139,9,28,0
1993,133,11,20,0
1993,133,8,21,0
1994,139,7,25,0
1993,138,9,25,0
1994,141,7,31,0
1993,148,8,38,0
1994,136,8,25,0
1994,141,9,29,0
1994,142,10,31,0
2002,127,9,17,2
1995,126,9,17,0
1995,128,10,14,1
1995,126,7,16,1
1995,127,7,17,0
1996,135,9,24,0
1997,118,10,7,0
1995,131,10,19,1
1995,134,10,23,1
1998,135,8,25,0
1997,125,9,14,0
1995,136,7,27,1
1996,146,9,35,1
1996,136,6,19,0
1996,166,7,58,0
1996,141,8,30,0
1996,142,7,30,0
1999,126,6,14,0
1997,123,7,12,0
1998,130,6,22,0
1996,144,8,30,0
1997,123,9,11,1
1999,124,8,9,0
2000,146,8,36,0
1997,121,9,10,1
1997,125,10,13,0
1997,127,6,15,0
1998,140,10,30,0
1997,125,10,12,2
1998,139,9,24,0
1997,130,10,12,2
1999,146,8,39,0
2000,132,9,21,1
1998,135,8,25,0
2000,127,7,16,0
1998,133,7,24,0
1999,124,10,10,0
2000,134,10,21,0
1998,140,10,25,0
2001,134,9,21,0
2000,129,8,15,0
1998,163,5,56,0
1999,123,8,12,0
2002,118,9,5,0
2003,129,7,17,0
1999,127,8,14,1
2000,131,8,19,4
1999,132,7,22,0
1999,139,8,31,0
2000,142,6,34,0
2002,121,9,9,0
1990,133,9,22,0
1993,134,10,23,2
1992,137,9,24,0
1993,128,7,18,0
1992,136,8,24,3
1990,138,9,29,0
1990,137,5,31,0
1992,131,10,16,2
1994,138,8,29,1
1992,138,10,24,0
1993,132,9,19,2
1991,139,9,26,1
1992,134,9,23,3
1993,127,10,16,2
1991,130,10,18,0
1992,136,10,23,4
1993,132,9,21,2
1991,138,9,25,1
1992,NA,6,63,0
1993,136,11,23,0
1993,125,9,15,2
1992,134,10,18,3
1991,142,7,30,0
1991,141,10,27,3
1993,131,10,18,1
1992,137,12,22,1
1991,140,7,31,0
1992,137,10,22,0
1993,133,10,20,0
1991,139,7,29,3
1992,168,8,59,NA
1991,141,11,28,5
1992,140,5,30,1
1993,124,10,14,1
1992,137,8,26,0
1993,134,9,25,0
1992,137,8,27,0
1992,140,9,27,1
1995,133,9,22,1
1997,132,9,18,1
1993,139,9,27,2
1992,139,11,25,1
1993,127,9,16,0
1994,135,10,25,1
1993,126,10,15,0
1993,128,9,15,1
1993,131,10,18,4
1994,134,10,24,0
1993,130,8,18,0
1994,133,7,26,1
1994,142,8,29,1
1993,133,8,21,1
1993,134,9,25,0
1993,132,10,19,1
1993,136,11,23,0
1993,134,11,21,1
1993,131,11,17,1
1993,131,9,22,1
1993,131,9,21,0
1993,133,9,22,1
1994,134,11,16,0
1993,132,11,16,1
1993,133,10,19,0
1993,133,10,22,2
1993,135,11,22,1
1994,133,8,24,2
1994,136,8,26,0
1994,136,8,26,0
1995,135,9,27,1
1997,127,7,15,0
1996,142,6,32,0
1994,142,8,34,1
1992,137,9,25,1
1993,131,8,21,0
1996,171,8,60,NA
1994,136,8,27,0
1995,135,9,24,0
1992,138,8,26,2
1993,133,10,20,2
1994,148,9,38,0
1994,135,9,26,1
1994,152,7,41,0
1995,124,9,12,1
1995,137,10,28,0
1995,132,10,21,1
1995,129,8,18,1
1996,139,10,25,0
1996,140,7,28,1
1996,138,5,26,0
1996,141,8,30,2
1996,142,8,30,3
1996,148,12,31,1
1996,145,6,34,3
1996,146,8,34,0
1996,148,6,29,0
1996,165,6,33,0
1997,116,10,3,3
1998,135,10,23,1
1999,127,8,14,1
1997,123,9,11,1
1997,127,10,15,0
1997,127,9,15,0
