"year","hatchdate","cs","layday","recruit"
2014,122,7,11,0
2015,130,9,19,0
2014,131,7,18,1
2014,122,8,11,0
2014,130,8,19,2
2015,125,8,15,3
2014,133,8,20,2
2018,145,9,35,0
2015,131,6,21,0
2016,148,7,38,0
2017,129,6,12,0
2014,148,6,44,0
2015,135,8,22,0
2017,132,9,19,0
2018,147,8,37,1
2016,149,8,39,0
2015,127,8,17,1
2016,135,7,23,0
2014,127,9,15,1
2015,128,8,18,3
2017,127,9,14,1
2015,133,10,20,2
2016,141,9,29,1
2018,144,9,30,0
2016,147,6,38,0
2015,NA,5,25,0
2017,133,6,22,0
2015,150,7,39,0
2013,151,8,41,0
2013,146,4,41,2
2015,131,8,20,0
2015,132,9,17,0
2019,116,8,1,0
2017,120,7,10,0
2018,133,10,22,5
2019,157,5,55,0
2017,120,8,7,0
2018,123,10,13,0
2017,120,9,10,0
2018,133,9,21,1
2019,121,7,7,1
2017,122,9,10,0
2017,123,9,7,0
2017,123,5,14,0
2019,124,7,14,0
2017,124,6,12,0
2017,124,7,16,1
2017,118,7,12,0
2017,126,7,10,0
2017,125,7,13,2
2020,130,9,19,0
2019,128,10,18,0
2021,135,7,25,1
2015,127,8,15,0
2019,121,9,8,0
2020,135,9,25,0
2021,127,8,16,2
2021,128,8,16,1
2015,142,7,33,0
2022,124,9,14,0
2015,120,5,13,1
2016,149,6,41,0
2017,124,7,11,0
2017,126,8,17,0
2016,134,7,23,1
2017,120,9,10,2
2016,135,6,25,0
2016,144,8,35,NA
2017,122,8,11,0
2016,157,6,48,0
2016,131,7,17,0
2016,131,7,17,NA
2018,134,9,21,3
2019,133,8,24,0
2019,125,9,12,1
2023,132,7,22,0
2019,120,11,6,0
2022,130,7,17,4
2021,144,6,35,0
2019,121,7,11,2
2019,125,8,15,0
2019,116,10,-1,0
2018,134,9,22,2
2019,121,8,8,0
2021,129,6,22,2
2018,136,9,23,2
2022,124,8,14,1
2020,128,8,17,0
2018,135,8,24,2
2017,129,9,16,1
2018,130,8,20,2
2017,129,6,21,0
2017,129,8,16,1
2018,143,11,29,0
2018,128,6,22,1
2022,127,6,18,1
2021,133,5,22,0
2020,127,8,17,0
2018,134,9,23,2
2019,120,7,11,0
2021,127,7,15,0
2020,126,8,12,0
2019,125,6,14,0
2018,131,8,19,3
2018,138,10,25,4
2017,131,9,17,0
2018,138,8,29,1
2018,132,7,22,0
2019,121,8,9,2
2018,134,6,25,1
2018,133,8,24,2
2020,124,9,13,0
2019,119,6,12,0
2018,133,11,19,1
2017,128,7,19,0
2018,139,11,27,0
2016,147,8,37,0
2017,121,6,10,0
2016,137,5,24,1
2017,121,8,10,1
2017,133,5,23,0
2017,135,10,17,0
2017,131,7,21,1
2019,123,9,11,1
2018,138,8,26,2
2017,134,6,29,0
2018,136,7,26,2
2018,137,9,27,1
2017,129,8,18,1
2017,132,6,22,0
2017,126,10,14,2
2017,131,10,18,0
2017,126,10,13,0
2018,134,9,22,0
2018,130,9,19,0
2017,124,8,13,1
2017,133,9,23,1
2018,137,9,26,0
2017,126,7,13,0
2017,127,6,19,0
2017,131,6,19,0
2017,126,9,12,0
2017,NA,7,10,0
2017,NA,4,7,0
2017,125,12,10,0
2017,130,8,21,1
2016,145,7,35,0
2019,131,8,21,0
2019,130,10,19,0
2020,128,8,17,0
2020,135,6,25,0
2019,132,9,23,0
2020,126,10,15,0
2021,136,8,22,1
2022,132,9,20,0
2022,136,8,25,0
2023,133,9,21,0
2023,130,9,15,0
2023,132,6,21,0
2023,132,9,21,0
2023,136,10,23,0
2023,138,8,21,0
2023,138,7,22,0
2023,139,9,25,0
2023,140,7,31,0
2023,140,8,22,0
2023,140,9,29,0
2023,141,10,27,0
2020,128,8,17,0
2022,131,9,19,1
2021,133,9,20,1
2021,133,9,23,2
2022,128,9,18,0
2020,128,8,18,0
2020,127,11,15,0
2020,127,9,15,2
2022,118,11,2,0
2022,124,9,13,0
2021,123,3,10,0
2020,124,8,13,0
2020,134,4,20,0
2021,130,7,16,1
2022,127,8,14,1
2020,132,8,23,1
2023,140,10,30,0
2021,137,9,24,0
2022,129,9,17,1
2020,130,8,21,0
2020,131,8,19,0
2020,134,10,21,0
2021,130,8,18,1
2022,131,9,17,0
2020,131,10,18,0
2021,133,8,19,3
2022,123,8,12,0
2020,126,9,16,0
2020,130,8,20,0
2020,130,7,21,0
2020,134,6,25,0
2021,126,8,16,0
2022,126,10,13,0
2020,130,6,21,0
2021,122,6,11,0
2021,124,10,8,0
2020,130,7,20,0
2021,129,7,18,0
2020,130,6,20,0
2023,143,7,30,0
2020,128,9,16,0
2020,129,8,17,1
2020,130,10,18,0
2020,130,6,22,0
2023,133,8,20,0
2020,130,9,20,1
2022,128,8,16,0
2021,129,7,19,1
2020,130,8,20,0
2021,131,10,18,0
2021,NA,10,43,0
2020,130,9,19,0
2020,127,9,15,2
2022,122,9,10,1
2020,130,8,20,2
2020,132,9,19,0
2020,132,9,21,2
2021,141,6,27,0
2022,131,9,18,2
2020,133,7,24,0
2021,141,5,30,0
2022,131,6,24,0
2021,132,8,19,1
2021,127,6,19,0
2022,116,6,6,1
2022,130,6,18,0
2023,132,7,19,0
2021,143,7,29,2
2020,135,8,24,1
2020,135,7,25,0
2021,145,8,34,0
2020,140,6,30,0
2022,143,10,32,1
2022,126,10,13,0
2021,135,7,19,0
2023,129,7,9,0
2023,137,11,22,0
2021,129,8,16,0
2022,125,11,10,1
2022,128,7,16,0
2022,128,10,15,0
2018,137,9,24,0
2016,137,6,26,1
2016,137,7,21,0
2017,123,5,16,0
2018,131,7,21,3
2019,122,5,10,0
2016,139,8,24,0
2017,122,8,11,2
2016,144,5,36,0
2017,123,6,11,0
2016,145,15,18,0
2017,127,7,19,0
2018,137,10,24,0
2018,133,10,20,1
2017,123,8,10,1
2019,122,9,12,0
2017,118,6,9,1
2016,149,8,40,1
2018,137,9,24,2
2017,135,7,26,0
2019,133,5,24,0
2017,114,6,4,0
2016,129,5,19,1
2017,127,8,17,0
2016,134,6,23,0
2018,137,8,26,2
2017,133,6,22,3
2018,137,8,24,2
2016,138,9,24,0
2016,138,6,23,0
2018,139,9,28,0
2019,122,11,8,0
2020,129,7,19,0
2019,122,8,12,1
2019,NA,14,12,0
2019,122,9,12,0
2019,125,9,15,0
2019,124,8,14,1
2020,129,7,19,2
2019,125,5,13,0
2019,118,7,-1,0
2017,122,9,5,0
2020,137,8,27,0
2018,136,10,21,2
2017,128,7,19,0
2020,123,6,15,1
2018,133,8,22,0
2019,120,8,11,0
2017,134,7,25,0
2018,133,11,20,1
2019,115,11,1,0
2017,120,7,8,2
2019,115,10,1,1
2016,145,7,36,1
2017,125,8,14,0
2016,145,5,36,1
2013,139,8,28,0
2013,138,10,25,0
2014,137,9,20,0
2015,141,8,30,0
2013,141,6,34,1
2015,135,6,22,0
2016,149,6,39,0
2017,133,8,24,0
2015,136,7,26,0
2015,128,6,19,0
2015,136,8,26,1
2014,128,6,17,0
2018,132,9,19,0
2018,129,8,19,0
2019,121,9,10,0
2020,134,7,23,0
2018,128,8,18,3
2019,126,5,11,0
2014,119,10,7,0
2014,125,8,16,1
2015,132,8,20,1
2014,145,4,40,0
2015,133,9,21,0
2014,128,9,16,1
2015,145,6,37,0
2017,137,8,24,0
2016,144,7,20,0
2017,121,9,8,0
2018,135,9,22,3
2016,144,5,37,0
2017,122,7,8,0
2017,123,6,9,1
2016,150,9,24,0
2016,145,8,37,0
2017,126,10,14,1
2016,139,8,26,1
2020,127,8,15,0
2019,131,7,22,0
2019,126,8,14,0
2019,133,9,23,0
2019,131,10,20,0
2018,143,9,33,0
2020,126,7,16,2
2022,128,9,17,2
2021,146,4,39,0
2020,130,9,20,1
2021,121,5,5,0
2020,128,7,19,0
2020,128,10,16,2
2022,125,11,13,0
2021,125,8,13,0
2020,128,6,17,0
2021,138,7,26,0
2021,135,10,20,4
2022,115,8,4,1
2021,130,7,19,0
2021,130,7,16,0
2022,124,12,10,1
2023,126,11,13,0
2021,130,9,14,0
2020,133,10,19,1
2020,133,7,23,0
2021,134,6,23,0
2021,146,8,35,0
2021,138,9,24,1
2021,141,4,33,1
2022,130,4,18,1
2021,137,6,27,1
2023,130,11,13,0
2021,126,7,13,1
2022,130,11,15,0
2022,124,10,13,0
2021,139,8,28,1
2021,123,9,12,0
2021,129,9,16,0
2021,141,4,34,0
2023,134,6,23,0
2022,129,8,18,0
2022,129,7,19,0
2023,140,7,31,0
2021,141,7,30,0
2021,135,9,19,0
2021,126,7,16,0
2021,129,6,19,0
2021,119,7,9,2
2022,130,6,20,1
2022,136,7,26,0
2023,131,9,20,0
2021,130,9,17,0
2022,128,8,16,1
2021,130,6,15,0
2022,130,9,18,0
2023,133,10,20,0
2022,126,8,16,0
2022,126,7,17,0
2022,121,8,11,2
2023,131,9,20,0
2022,133,8,23,0
2022,135,9,23,0
2023,133,9,22,0
2023,137,10,21,0
2020,124,8,13,0
2020,125,8,14,0
2020,127,7,16,1
2020,128,8,17,1
2021,137,6,28,2
2020,127,7,17,1
2020,127,8,16,0
2021,125,7,15,0
2020,126,8,16,2
2021,131,6,22,0
2021,141,7,30,0
2020,131,7,22,1
2020,133,9,21,0
2021,135,9,20,1
2022,123,8,13,0
2023,132,11,14,0
2021,154,6,45,0
2021,147,8,39,0
2023,132,8,18,0
2022,133,8,21,0
2022,119,7,14,1
2021,125,6,16,1
2022,132,5,23,1
2023,139,8,30,0
2021,133,7,20,0
2022,130,8,19,1
2022,131,8,20,2
2023,139,9,28,0
2021,137,8,27,1
2023,126,11,10,0
2022,123,9,12,0
2022,126,10,11,1
2020,126,9,15,3
2020,128,8,18,1
2022,126,11,12,2
2021,135,10,21,2
2021,124,10,11,3
2022,121,11,8,0
2021,131,11,17,1
2021,121,8,5,0
2022,133,8,21,1
2021,140,9,25,1
2023,134,9,19,0
2022,NA,8,25,0
2021,151,8,39,0
2020,133,9,22,0
2020,134,10,21,0
2020,134,9,21,0
2021,141,5,31,0
2020,134,8,22,0
2022,131,13,14,0
2020,136,7,22,0
2021,140,7,31,0
2020,139,8,29,0
2022,127,8,15,0
2021,132,7,21,0
2021,NA,5,64,0
2021,134,8,21,0
2022,129,8,16,1
2023,129,8,17,0
2022,122,10,10,0
2022,123,9,12,1
2023,132,7,22,0
2022,126,7,17,1
2023,131,9,18,0
2022,128,8,16,0
2022,128,8,17,0
2023,129,8,17,0
2022,115,10,2,0
2021,124,8,13,0
2021,131,11,18,1
2022,116,8,5,0
2021,131,6,22,0
2021,133,8,20,0
2021,138,6,29,0
2021,141,7,29,0
2021,141,9,30,0
2023,133,10,21,0
2022,129,8,19,0
2022,125,8,14,0
2023,136,9,24,0
2022,125,8,14,1
2023,121,8,9,0
2023,122,7,8,0
2022,113,6,1,1
2022,NA,8,29,0
2023,130,5,20,0
2022,139,4,34,0
2023,136,8,21,0
2023,132,9,10,0
2022,129,9,18,2
2022,140,8,33,0
2022,129,8,18,0
2022,147,6,40,0
2023,143,9,33,0
2022,NA,6,26,0
2023,144,6,35,0
2022,135,7,20,0
2020,129,9,17,0
2021,131,9,16,4
2022,127,11,13,1
2020,133,9,19,0
2020,134,9,23,2
2021,125,7,16,0
2020,136,6,28,0
2021,132,6,20,0
2021,132,10,19,1
2023,148,7,41,0
2023,133,8,21,0
2022,130,7,21,1
2023,131,8,20,0
2023,135,10,21,0
2022,131,8,21,1
2022,132,8,22,0
2023,141,7,31,0
2023,127,9,13,0
2023,127,7,18,0
2023,127,9,10,0
2020,124,6,15,0
2021,120,11,2,0
2020,125,9,12,1
2021,125,7,15,1
2020,124,8,13,2
2020,126,7,15,0
2021,125,6,18,0
2020,125,8,14,1
2021,127,4,19,1
2022,117,4,6,0
2023,122,5,12,0
2021,141,7,31,1
2021,133,7,19,0
2020,129,8,17,0
2022,133,7,20,0
2021,135,7,22,2
2020,130,9,19,0
2022,131,9,18,1
2020,132,7,21,1
2020,132,7,23,0
2020,132,9,20,0
2021,136,6,26,2
2020,133,8,23,0
2020,135,6,26,0
2021,134,6,22,0
2020,135,6,25,0
2023,131,10,16,0
2022,124,10,14,1
2021,133,10,23,2
2022,136,8,24,0
2022,121,8,11,0
2022,121,7,10,0
2023,143,7,34,0
2023,133,8,21,0
2023,134,8,20,0
2023,136,8,24,0
2023,137,7,17,0
2023,137,8,27,0
2021,133,9,18,3
2021,129,8,17,0
2023,120,8,10,0
2023,122,8,9,0
2023,127,9,14,0
2023,128,6,19,0
2023,135,9,25,0
2023,135,9,21,0
2020,128,7,17,0
2020,129,10,18,0
2020,129,11,19,1
2022,136,9,21,0
2021,142,6,32,1
2023,136,7,25,0
2020,131,8,20,0
2021,136,10,16,0
2020,131,12,17,1
2021,132,7,22,0
2022,134,10,23,0
2022,132,7,24,0
2022,137,8,25,0
2023,135,8,23,0
2023,136,6,29,0
2022,131,9,19,0
2022,127,10,16,0
2007,127,11,15,1
2007,137,10,16,0
2008,138,8,27,0
2007,131,9,21,0
2007,127,9,17,1
2009,129,10,17,0
2012,137,6,24,1
2008,136,9,26,0
2007,128,9,19,0
2009,129,10,17,0
2010,123,9,11,0
2016,143,6,35,NA
2017,121,7,10,0
1987,136,10,26,2
1987,130,8,21,2
1987,134,10,23,2
1988,146,7,37,0
1988,139,7,26,1
1987,130,10,20,0
1987,131,9,20,1
1987,130,10,18,4
1988,148,8,39,0
1987,132,10,22,1
1987,136,9,26,2
1987,132,10,21,3
1987,132,11,20,4
1988,136,9,23,0
1987,132,10,20,2
1987,135,10,24,1
1988,140,7,29,0
1987,132,11,21,0
1987,135,10,24,0
1988,140,5,28,0
1987,133,10,22,1
1987,131,11,19,4
1989,139,7,29,4
1987,139,11,26,1
1987,139,9,29,1
1987,132,10,22,5
1988,146,9,36,0
1987,133,10,22,2
1987,135,10,24,1
1988,140,7,30,1
1987,135,8,23,2
1987,131,6,24,0
1987,140,9,30,0
1987,133,9,21,0
1989,129,9,15,3
1989,132,10,19,1
1990,128,9,15,1
1991,142,10,30,1
1989,134,9,23,2
1988,151,8,42,0
1988,144,6,35,1
1989,134,7,22,0
1988,138,9,24,0
1989,133,10,19,2
1988,148,7,40,0
1989,133,10,17,1
1989,142,9,32,0
1988,149,8,40,0
1988,153,7,45,0
1990,128,7,17,0
1989,136,9,24,0
1988,139,8,26,0
1988,145,7,36,0
1988,144,5,36,0
1988,152,7,39,0
1988,150,7,41,0
1988,144,9,34,0
1988,146,8,37,0
1988,144,8,34,0
1988,143,8,32,0
1988,145,6,38,0
1988,138,7,28,1
1990,131,12,16,0
1989,132,9,17,0
1988,141,9,29,0
1987,131,9,20,0
1988,143,8,33,0
1989,133,9,19,1
1988,138,7,27,0
1988,147,9,33,0
1988,135,4,25,1
1988,144,9,31,0
1988,140,8,27,0
1988,144,7,36,0
1989,141,11,25,0
1990,132,12,16,0
1991,136,11,15,2
1988,144,8,28,1
1989,124,11,7,4
1988,144,6,33,0
1988,147,5,39,2
1988,144,8,33,0
1989,127,9,12,2
1988,142,7,27,0
1990,114,11,4,4
1989,138,9,27,0
1990,130,10,11,1
1988,145,8,34,0
1990,125,9,9,0
1989,133,7,23,0
1989,134,8,22,1
1989,140,8,30,0
1988,152,8,40,0
1988,143,8,34,1
1988,147,8,39,2
1988,146,9,33,0
1988,151,7,40,0
1990,129,9,17,1
1988,146,8,35,0
1989,132,7,21,0
1988,147,6,37,0
1989,136,9,25,2
1989,136,8,25,0
1988,146,7,37,0
1988,146,7,38,0
1989,129,10,16,2
1988,146,8,36,0
1989,135,8,25,3
1988,142,8,33,0
1989,130,6,20,1
1989,133,6,24,0
1989,135,8,25,1
1999,140,8,32,0
1999,136,8,28,0
1999,140,10,30,0
2000,141,9,28,3
1999,135,8,25,0
1996,136,9,22,0
1995,127,7,15,1
1994,129,8,20,0
1995,130,9,15,1
1996,142,9,23,0
1994,138,9,26,0
1997,126,10,10,0
1998,139,10,23,0
1994,139,9,30,0
1998,136,10,24,0
1997,126,11,13,0
1996,155,9,44,0
1994,143,8,33,0
1994,146,8,35,0
1994,140,11,30,1
1994,136,7,26,0
1994,136,6,30,0
1988,152,8,42,0
2018,128,9,19,1
2017,117,6,9,1
2017,118,9,5,1
2018,141,10,26,0
2019,125,5,12,0
2018,134,9,21,0
2019,125,8,16,1
2017,122,9,10,1
2018,125,6,16,0
2017,123,8,13,0
2018,136,9,26,0
2017,123,9,12,0
1988,146,10,35,2
1988,148,10,34,0
1988,146,8,34,0
1988,141,7,32,0
1989,135,6,23,1
1992,139,10,23,2
1993,132,9,22,2
1988,153,7,45,0
1988,146,7,37,1
1988,144,7,34,1
1988,145,10,34,0
1988,143,8,33,0
1991,131,12,15,2
1988,140,4,26,0
1992,130,12,14,1
1990,122,11,7,3
1988,144,8,33,2
1991,138,9,23,1
1989,131,10,15,5
1990,133,8,25,0
1990,115,9,7,1
1992,137,11,23,2
1990,131,8,21,0
1988,149,5,43,0
1989,143,11,32,0
1988,148,9,37,0
1990,127,7,16,0
1989,129,7,16,2
1989,132,11,13,0
1989,135,7,23,1
1988,143,6,34,0
1990,128,11,14,0
1988,143,9,30,0
2017,125,9,13,0
1988,133,9,21,0
1988,148,9,39,1
1988,141,5,32,0
1988,152,8,44,0
1988,146,9,36,2
1988,151,7,41,0
1988,141,8,26,0
1992,136,10,22,2
1991,139,8,27,0
1993,131,10,18,2
1990,126,9,16,0
1990,127,11,12,1
1990,123,11,10,0
1992,136,9,24,0
1991,142,8,30,0
1993,127,9,17,0
1991,131,9,17,3
1990,127,9,16,1
1990,125,9,12,2
1991,140,10,30,4
1990,130,11,16,0
1990,121,10,7,1
1990,122,11,7,1
1991,132,11,13,0
1989,130,9,16,3
1991,130,4,15,1
1989,134,7,26,0
1989,129,9,13,0
1989,136,11,23,1
1989,133,8,23,0
1991,138,8,21,4
1989,142,10,31,0
1989,135,6,23,0
1990,120,10,6,2
1989,135,9,24,2
1989,134,9,21,2
1992,137,11,23,0
1989,132,7,24,1
1989,133,9,23,2
1991,150,11,37,1
1989,134,10,20,1
1989,136,11,24,0
1990,134,11,23,0
1989,129,8,17,2
1989,141,7,28,3
1993,133,10,21,3
1991,147,8,35,NA
1992,138,10,24,3
1990,131,9,18,0
1990,133,9,23,0
1989,132,9,20,1
1990,133,8,24,0
1989,132,10,18,1
1989,131,9,17,3
1993,133,10,22,1
1992,141,10,27,1
1993,137,9,25,0
1994,143,8,32,0
1990,132,10,21,1
1990,121,10,7,3
1991,129,10,16,0
1990,125,9,13,1
1990,130,7,20,1
1992,138,10,23,0
1990,132,10,21,0
1990,130,7,20,0
1990,129,10,17,1
1990,121,12,6,1
1990,NA,7,16,0
1991,130,10,17,4
1992,137,10,24,1
1990,129,9,14,2
1990,134,8,27,1
1990,121,10,6,2
1991,144,7,35,1
1993,128,10,16,0
1989,143,8,35,3
1990,131,8,17,1
1989,132,9,20,2
1989,128,8,18,1
1989,134,5,26,0
2008,137,9,25,0
2008,146,7,37,0
1991,141,9,30,2
1990,137,7,30,0
1994,134,7,26,1
1993,130,9,20,2
1991,142,8,26,2
1990,135,9,23,0
1990,126,8,16,1
1991,147,8,38,0
1990,136,6,30,0
1990,127,8,16,0
1990,133,9,21,3
1991,132,12,15,0
2020,130,6,22,0
2019,121,5,13,0
1990,123,10,7,0
1989,142,9,32,0
1991,140,10,21,0
1990,NA,8,15,0
1989,134,6,24,2
1989,143,7,35,0
1989,130,9,17,5
1990,142,8,33,NA
1990,128,8,17,4
1991,NA,8,31,0
1990,128,10,14,1
1991,138,8,27,1
1992,136,11,20,1
1990,126,8,17,3
1992,139,14,22,2
1991,140,14,17,0
1990,127,13,8,1
1991,140,8,26,1
1990,134,8,25,2
1990,141,6,28,NA
1992,133,8,22,2
1990,126,8,14,0
1991,138,9,26,0
1990,122,9,8,2
1990,121,11,6,2
1992,139,11,24,2
1990,129,8,16,0
1991,144,8,28,1
1993,134,9,23,0
1990,124,10,9,2
1993,130,8,17,0
1991,140,9,26,2
1990,132,8,23,0
1992,135,9,22,2
1994,136,7,25,0
1990,144,8,36,0
1990,NA,8,23,NA
1990,121,9,9,3
1990,132,9,18,0
1989,142,9,30,0
1989,126,8,13,0
1989,133,10,19,4
1989,132,9,18,0
1990,125,11,8,0
1989,138,8,26,0
1992,139,8,24,1
1991,125,9,17,0
1992,147,8,37,2
2003,132,7,22,0
2003,132,8,19,0
2004,131,5,19,0
2004,134,9,19,5
2005,128,9,11,0
2005,139,9,29,0
2006,135,12,21,0
2004,NA,9,26,0
2005,144,9,34,2
2004,128,9,14,2
2004,139,7,20,1
2004,147,7,30,0
2006,134,6,26,0
2005,146,7,33,0
2004,130,9,19,0
2005,130,8,18,0
2004,130,7,19,0
2005,159,7,53,0
2018,130,10,17,4
2018,147,7,36,0
2018,140,7,29,1
2018,131,11,17,0
2019,119,7,3,0
2005,139,8,26,0
2005,152,7,45,0
2005,138,9,26,1
2005,144,8,34,0
2005,137,6,26,0
2005,148,18,24,0
2006,142,10,27,3
2005,141,11,28,0
2006,135,12,22,1
2005,139,11,26,0
2005,139,8,29,0
2005,138,10,26,0
2002,119,8,7,0
2003,133,6,22,0
2002,121,5,7,3
2002,125,8,13,0
2005,138,9,27,1
2005,125,6,15,1
2006,133,9,21,1
2005,144,8,34,0
2005,134,7,26,NA
2006,133,12,20,1
2005,131,10,20,0
2005,135,6,26,1
2005,137,11,22,0
2005,132,8,21,2
2005,138,10,25,1
2005,138,7,28,1
2005,140,8,30,1
2005,138,8,30,0
2005,138,8,27,1
2007,127,9,17,3
2006,137,9,26,3
2005,135,9,25,1
2006,140,10,27,3
2005,138,9,26,0
2005,137,7,28,0
2007,132,10,21,0
2005,143,6,34,1
2005,143,8,34,0
2005,136,6,27,0
2009,130,11,17,0
2008,137,10,23,0
2007,128,10,18,0
2005,142,6,32,0
2006,141,8,32,1
2005,131,6,23,1
2005,124,8,11,2
2002,134,10,23,1
2001,143,7,34,1
2002,131,12,16,0
2001,144,7,32,0
2001,154,8,46,0
2002,124,9,12,1
2003,140,7,29,0
2001,144,6,36,0
2003,133,8,20,0
2002,127,8,16,0
2003,132,8,20,0
2001,151,9,38,0
2002,130,9,9,0
2005,NA,9,16,1
2003,NA,11,16,0
2001,143,10,30,0
2001,155,7,45,0
2001,151,8,43,0
2002,124,8,14,4
2004,131,8,15,2
2003,127,8,16,0
2002,123,6,9,0
2001,144,6,38,0
2001,151,7,32,0
2002,123,9,10,0
2001,142,9,29,0
2001,136,8,24,0
2003,139,9,26,0
2005,144,10,29,0
2004,137,9,22,3
2001,146,8,37,0
2002,123,10,8,1
2003,132,10,18,0
2001,154,6,31,0
2003,133,10,20,0
2005,138,8,27,0
2003,131,9,20,0
2001,145,8,36,0
2001,149,8,42,0
2001,147,7,39,1
2003,132,10,18,1
2001,157,6,50,0
2001,150,4,44,0
2001,144,5,38,0
2001,143,7,32,1
2001,137,7,27,1
2002,127,11,12,1
2002,129,9,19,3
2001,150,6,31,0
2001,150,9,31,0
2002,133,7,20,1
2001,143,9,33,0
2003,130,10,20,1
2001,147,9,33,0
2001,145,9,34,0
2002,125,9,14,2
2001,148,9,36,0
2002,133,9,22,0
2001,147,10,36,0
2002,123,6,9,1
2002,125,10,14,0
2002,119,7,9,0
2002,120,10,7,0
2004,127,9,13,5
2002,127,4,25,1
2002,139,7,22,1
2005,124,8,12,1
2004,136,8,22,1
2004,127,8,15,2
2005,142,9,31,0
2005,138,3,30,0
2006,NA,2,27,0
2005,132,6,24,1
2004,126,8,14,1
2002,121,8,8,3
2003,135,5,26,0
2001,132,7,22,0
2002,121,9,9,0
1990,133,8,20,0
1990,136,10,26,0
1992,136,10,23,2
1992,138,11,23,3
1992,138,7,25,4
1994,136,4,25,3
1992,144,8,34,1
1992,137,9,25,1
1995,129,8,18,2
1992,140,10,28,3
1993,138,9,26,1
1994,143,9,33,0
1992,135,9,23,0
1994,140,8,30,0
1992,137,9,24,0
1995,140,6,34,0
1993,132,8,21,0
1992,137,8,24,1
1994,138,9,27,1
1995,133,8,20,1
1996,141,9,29,4
1993,130,7,22,0
1992,136,7,25,0
1994,142,7,34,0
1993,133,6,25,0
1994,154,12,34,0
1992,135,7,25,3
1992,138,9,26,1
1992,138,9,26,2
1994,141,7,29,0
1993,137,11,26,3
1993,127,8,16,0
1992,137,9,23,0
1996,141,8,26,1
1995,127,10,12,2
1992,136,9,24,2
1993,133,8,21,1
1994,140,9,28,0
1992,144,8,31,1
1993,134,8,24,3
1992,140,11,24,4
1992,135,9,23,1
1992,141,10,29,0
1992,139,10,23,0
1992,142,11,27,0
1993,138,11,25,1
1992,138,9,26,1
1992,133,11,20,0
2018,138,9,29,0
2017,129,6,18,0
1992,134,10,22,1
1991,142,9,30,2
2004,136,8,25,1
2004,128,8,15,0
2004,132,12,17,4
1991,143,5,36,0
2017,132,6,24,0
2018,131,9,20,0
2018,135,8,24,0
2019,112,10,-4,1
2018,128,10,15,0
2018,135,10,20,0
2018,135,10,25,2
2019,121,11,7,0
2018,135,8,25,0
1992,137,9,22,5
1993,138,10,25,0
1993,134,12,22,0
1993,131,9,21,2
1993,133,9,23,3
1994,139,10,28,0
1994,140,8,31,0
1993,134,8,23,1
1993,132,10,21,2
1994,140,10,29,0
1993,133,9,24,0
1993,135,12,20,2
1994,153,9,43,0
1993,136,11,22,0
1993,131,5,22,1
1995,131,7,17,2
1994,132,7,22,0
1994,135,10,23,4
1996,137,12,21,1
1995,128,10,13,0
1993,133,11,19,0
1993,129,11,17,1
1996,143,10,26,0
1995,133,8,20,0
1993,161,5,52,0
1993,133,9,24,0
1994,138,11,26,1
1993,132,10,19,2
1993,138,12,25,0
1993,134,9,23,1
1996,141,9,27,2
1994,133,6,26,0
1993,130,6,17,0
1996,154,8,32,0
1993,124,8,12,3
1994,126,10,13,1
1996,144,7,31,1
1993,136,10,20,0
1996,154,4,44,0
1993,141,9,31,1
1997,129,9,18,0
1994,144,8,34,0
1995,137,7,29,0
1993,128,9,17,1
1993,132,9,21,2
1993,123,9,13,0
1994,132,7,24,0
1995,122,10,10,4
1993,125,8,15,1
1995,152,8,44,0
1996,137,12,22,0
1993,130,9,18,0
1994,137,10,25,0
1993,135,9,25,2
1993,137,11,25,1
1994,139,9,28,0
1993,132,9,20,0
1993,133,10,20,2
1993,140,8,31,1
1993,128,9,19,0
1997,130,14,10,0
1996,144,12,27,0
1994,134,11,21,0
1995,135,13,20,2
1993,130,10,16,2
1993,129,8,19,2
1994,131,8,21,0
1995,129,11,15,0
1993,133,9,19,1
1993,126,8,15,0
1995,128,10,17,3
1993,140,10,30,1
1994,136,9,27,0
1993,128,8,19,3
1995,129,9,16,0
1994,133,7,24,0
1997,125,11,11,1
1996,144,8,29,0
1993,133,9,23,0
1993,133,10,21,0
1993,163,6,55,1
1993,139,10,28,1
1993,136,8,26,0
1994,135,8,25,0
1995,128,11,13,1
1994,132,11,18,5
1993,133,9,23,0
1993,134,10,23,1
1994,136,9,26,2
1996,143,7,28,0
1993,136,9,25,2
1995,130,9,17,1
1993,134,9,23,1
1994,133,9,22,0
1994,141,9,29,0
1994,138,10,26,0
1993,133,10,22,0
1994,139,11,26,0
1993,138,12,25,0
1994,135,8,25,2
1993,133,9,22,1
1995,128,8,15,0
1995,125,8,15,0
1994,129,9,14,1
1993,127,8,16,0
1995,126,10,14,2
1993,131,9,21,1
1996,140,8,26,0
1994,137,7,28,2
1993,133,13,18,3
1994,140,8,30,1
1994,139,9,29,0
1993,134,8,24,0
1994,134,9,25,1
1993,135,9,24,2
1994,139,9,29,0
1993,140,10,28,1
1993,131,9,22,2
1993,133,9,22,3
1994,141,9,31,2
1995,129,10,14,2
1997,124,9,10,0
1993,132,10,20,3
1994,134,10,23,1
1996,137,8,25,0
1993,130,9,19,1
1997,127,9,15,3
1996,140,7,29,1
